age_group,question,options,correct_answer,feedback_correct,feedback_a,feedback_b,feedback_c,source_link
0-1,How many hours of sleep do infants (0–1 year) usually need in 24 hours?,a) 8–10 hours | b) 12–16 hours | c) 18–20 hours,b) 12–16 hours,Yes! Infants need 12–16 hours (naps + night sleep) for healthy brain and body growth.,"Not quite — “8–10 hours” isn’t the best answer. The correct answer is 12–16 hours. Sleep is critical for learning, memory, and growth.",Yes! Infants need 12–16 hours (naps + night sleep) for healthy brain and body growth.,"Not quite — “18–20 hours” isn’t the best answer. The correct answer is 12–16 hours. Sleep is critical for learning, memory, and growth.",https://www.cdc.gov/sleep/infants.html; https://www.healthychildren.org/English/healthy-living/sleep/Pages/default.aspx
0-1,When should tummy time start for babies?,a) From birth (supervised) | b) After 3 months | c) After 6 months,a) From birth (supervised),"Right! Short, supervised tummy time can begin from birth to strengthen muscles.","Right! Short, supervised tummy time can begin from birth to strengthen muscles.",Not quite — “After 3 months” isn’t the best answer. The correct answer is 'from birth.' Tummy time prevents flat spots and supports motor development.,Not quite — “After 6 months” isn’t the best answer. The correct answer is 'from birth.' Tummy time prevents flat spots and supports motor development.,https://www.healthychildren.org/English/ages-stages/baby/Pages/Tummy-Time.aspx
0-1,Which sense is most developed at birth?,a) Vision | b) Hearing | c) Taste,b) Hearing,Yes! Babies recognize voices from the womb. Hearing supports bonding and early language.,"Not quite — “Vision” isn’t the best answer. The answer is hearing. Vision is blurry at birth, but sound recognition starts earlier.",Yes! Babies recognize voices from the womb. Hearing supports bonding and early language.,"Not quite — “Taste” isn’t the best answer. The answer is hearing. Vision is blurry at birth, but sound recognition starts earlier.",https://developingchild.harvard.edu/resources/inbrief-the-science-of-early-childhood-development/
0-1,How do babies mainly learn in their first year?,a) Watching TV | b) Exploring with senses | c) Doing exercises,b) Exploring with senses,"Correct! Babies build brain connections by touching, tasting, listening, and seeing caregivers.","Not quite — “Watching TV” isn’t the best answer. The answer is 'exploring with senses.' Real-life interaction grows the brain, not screens.","Correct! Babies build brain connections by touching, tasting, listening, and seeing caregivers.","Not quite — “Doing exercises” isn’t the best answer. The answer is 'exploring with senses.' Real-life interaction grows the brain, not screens.",https://www.zerotothree.org/resource/how-do-infants-learn/
0-1,Why is talking to your baby important in the first year?,a) Builds language foundation | b) Just entertains adults | c) Makes them fall asleep faster,a) Builds language foundation,Exactly! Talking wires the brain for future speech and social skills.,Exactly! Talking wires the brain for future speech and social skills.,Not quite — “Just entertains adults” isn’t the best answer. The answer is language foundation. Parent talk predicts stronger communication skills later.,Not quite — “Makes them fall asleep faster” isn’t the best answer. The answer is language foundation. Parent talk predicts stronger communication skills later.,https://www.healthychildren.org/English/ages-stages/baby/Pages/Language-Development-0-12-Months.aspx
0-1,How should new foods be introduced around 6 months?,a) One at a time | b) All at once | c) Only sweet foods first,a) One at a time,Yes! Introducing one new food at a time helps detect allergies safely.,Yes! Introducing one new food at a time helps detect allergies safely.,"Not quite — “All at once” isn’t the best answer. The correct answer is 'one at a time.' This way, parents can spot allergic reactions early.","Not quite — “Only sweet foods first” isn’t the best answer. The correct answer is 'one at a time.' This way, parents can spot allergic reactions early.",https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/Switching-To-Solid-Foods.aspx
0-1,What does peek-a-boo teach babies?,a) Nothing important | b) Object permanence | c) How to be scared,b) Object permanence,Right! Peek-a-boo teaches babies that things exist even when unseen—a big memory skill.,Not quite — “Nothing important” isn’t the best answer. The answer is 'object permanence.' This game builds thinking and memory skills.,Right! Peek-a-boo teaches babies that things exist even when unseen—a big memory skill.,Not quite — “How to be scared” isn’t the best answer. The answer is 'object permanence.' This game builds thinking and memory skills.,https://developingchild.harvard.edu/science/key-concepts/brain-architecture/
0-1,At what age do most babies sit without support?,a) 3 months | b) 6 months | c) 12 months,b) 6 months,"Yes! Around 6 months, many babies start sitting independently.","Not quite — “3 months” isn’t the best answer. The answer is 6 months. Milestone timing varies, but this is the common range.","Yes! Around 6 months, many babies start sitting independently.","Not quite — “12 months” isn’t the best answer. The answer is 6 months. Milestone timing varies, but this is the common range.",https://www.cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html
0-1,What is the best way to respond to a crying baby?,"a) Stay calm, hold, and comfort | b) Ignore until they stop | c) Distract with loud noise","a) Stay calm, hold, and comfort","Correct! Responsive care builds trust, security, and emotional health.","Correct! Responsive care builds trust, security, and emotional health.",Not quite — “Ignore until they stop” isn’t the best answer. The correct answer is comfort and calm care. Ignoring raises stress and delays emotional regulation.,Not quite — “Distract with loud noise” isn’t the best answer. The correct answer is comfort and calm care. Ignoring raises stress and delays emotional regulation.,https://developingchild.harvard.edu/science/key-concepts/serve-and-return/
0-1,Why is play important in the first year?,a) Just entertainment | b) Supports brain development | c) Keeps them awake longer,b) Supports brain development,"Yes! Play strengthens brain pathways, motor skills, and social bonding.",Not quite — “Just entertainment” isn’t the best answer. The answer is brain development. Play is how infants learn about the world.,"Yes! Play strengthens brain pathways, motor skills, and social bonding.",Not quite — “Keeps them awake longer” isn’t the best answer. The answer is brain development. Play is how infants learn about the world.,https://www.zerotothree.org/resource/play/
